,Document,SVM,Naive-Bayes
28,"b'Disputed Nirvana box set on sale\n\nA box set featuring 68 unreleased Nirvana tracks has gone on sale in the US, after years of legal wrangles.\n\nWith the Lights Out was intended to be released in 2001, to mark the 10th anniversary of the album Nevermind. It was blocked by Courtney Love, the widow of Nirvana frontman Kurt Cobain, who did not want unreleased song You Know You\'re Right on the box set. The dispute between Love and surviving band members Krist Novoselic and drummer Dave Grohl was settled in 2002. Work began on the box set in 1998, but legal battles put the project on hold. The legal fight centred on a studio recording of the unreleased track You Know You\'re Right, regarded by fans as one of the unreleased gems of Nirvana. The set, released on Tuesday, features three CDs and a DVD of rare performance and rehearsal footage. The DVD also includes the first performance of Smells Like Teen Spirit, the track that launched Nirvana on to the international stage in 1991. ""The band wasn\'t always pretty, or always in tune. This is not Nirvana unplugged. It\'s Nirvana unedited,"" said Cobain biographer Charles Cross. The band\'s development ended tragically when songwriter Kurt Cobain committed suicide in April 1994.\n'",entertainment,entertainment
29,"b'How to make a gigapixel picture\n\nThe largest digital panoramic photo in the world has been created by researchers in the Netherlands.\n\nThe finished image is 2.5 billion pixels in size - making it about 500 times the resolution of images produced by good consumer digital cameras. The huge image of Delft was created by stitching together 600 single snaps of the Dutch city taken at a fixed spot. If printed out in standard 300 dots per inch resolution, the picture would be 2.5m high and 6m long.\n\nThe researchers have put the image on a website which lets viewers explore the wealth of detail that it captures. Tools on the page let viewers zoom in on the city and its surroundings in great detail. The website is already proving popular and currently has more than 200,000 visitors every day.\n\nThe image was created by imaging experts from the Dutch research and technology laboratory TNO which created the 2.5 gigapixel photo as a summer time challenge.\n\nThe goal of the project was to be one of the first groups to make gigapixel images. The first image of such a size was manually constructed by US photographer Max Lyons in November 2003. That image portrayed Bryce Canyon National Park, in Utah, and was made up of 196 separate photographs. The panorama of Delft is a little staid in contrast to the dramatic rockscape captured in Mr Lyons\' image. ""He did it all by hand, which was an enormous effort, and we got the idea that if you use automatic techniques, it would be feasible to build a larger image,"" said Jurgen den Hartog, one of the TNO researchers behind the project. ""We were not competing with Mr Lyons, but it started as a lunchtime bet.""\n\nThe Dutch team used already available technologies, although it had to upgrade them to be able to handle the high-resolution image.\n\n""We had to rewrite almost all the tools,"" Me den Hartog told the BBC News website. ""All standard Windows viewers available would not be able to load such a large image, so we had to develop one ourselves."" The 600 component pictures were taken on July 2004 by a computer-controlled camera with a 400 mm lens. Each image was made to slightly overlap so they could be accurately arranged into a composite. The stitching process was also done automatically using five powerful PCs over three days. Following the success of this project, and with promises of help from others, the TNO team is considering creating a full 360-degree panoramic view of another Dutch city, with even higher resolution.\n'",tech,tech
30,"b""Hatfield executives go on trial\n\nEngineering firm Balfour Beatty and five railway managers are to go on trial for manslaughter over the Hatfield rail crash in 2000.\n\nFour people died when a section of rail broke and a high speed train derailed. Balfour Beatty's railway maintenance arm was in charge of the upkeep of the line at Hatfield, Hertfordshire. Balfour Beatty managers Anthony Walker and Nicholas Jeffries, and Railtrack managers Alistair Cook, Sean Fugill and Keith Lea all face individual charges. All five men, along with four others, are also accused of breaches of health and safety laws. Balfour Beatty Rail Maintenance faces a corporate manslaughter charge. It is expected the trial could last as long as a year. The accident, on 17 October 2000, happened when the London to Leeds express came off the tracks at 115 mph, when it was derailed by a cracked section of rail. The accident on the East Coast Main Line sparked major disruption. The overall responsibility for the line was Railtrack's - the company that has now become Network Rail. Those who died in the accident were Steve Arthur, 46, from Pease Pottage, West Sussex; Peter Monkhouse, 50, of Headingley, Leeds; Leslie Gray, 43, of Tuxford, Nottingham; and Robert James Alcorn, 37, of Auckland, New Zealand.\n""",business,business
31,"b'Parmar ruled out of Davis Cup tie\n\nA knee injury has forced Arvind Parmar out of Great Britain\'s Davis Cup tie in Israel and left Alex Bogdanovic in line to take the second singles place.\n\nParmar picked up the injury last week and has failed to recover in time for the Europe/Africa Zone I tie, which begins in Tel Aviv on Friday. Bogdanovic looks set to take the second singles place alongside Greg Rusedski. GB captain Jeremy Bates could use 17-year-old Andrew Murray and David Sherwood in the doubles rubber. Bogdanovic and Murray both pulled out of tournaments last week through injury but are expected to be fit. Jamie Delgado and Lee Childs have been called into the squad in Tel Aviv as designated hitters for team practice but Bates has no plans to call either of them into his squad at present.\n\nThe unheralded Sherwood was the surprise inclusion when the squad was announced last week, and Bates said: ""David has earned his place in this squad on the merit of his form and results over the last 12 months."" The 6ft 4in Sherwood is ranked 264th in the world and the LTA have high hopes for him after Futures tournament wins in Wrexham and Edinburgh.\n\nThe Sheffield-born right-hander, aged 24, also reached another final in Plaisir, France, a week after making the semi-final in Mulhouse. Bates is glad to have Rusedski available after Tim Henman\'s retirement from Davis Cup tennis. ""His wealth of experience is invaluable, particularly to the younger players and I know he will lead by example,"" Bates said. ""We are looking forward to the tie. The squad are all in excellent form.""\n'",sport,sport
32,"b'Trial begins of Spain\'s top banker\n\nThe trial of Emilio Botin, the chairman of Spain\'s most powerful bank, Santander Central Hispano, has started in Madrid.\n\nMr Botin is accused of misusing the bank\'s funds after he approved the payment of 160m euros ($208m; \xc2\xa3111m) in bonus and pension payouts to two former executives. However, the trial was suspended when Mr Botin\'s lawyer introduced a new set of documents on the day testimony was set to begin. A three-judge panel gave prosecution lawyers until Monday to study the documents, when the trial will be reconvened.\n\nThe high-profile case began after two Santander shareholders filed a criminal complaint about the payments to Jose Maria Amusategui and Angel Corcostegui, who stepped down in 2001. Both executives helped Mr Botin orchestrate Spain\'s biggest bank merger, between Santander and Banco Central Hispano, in 1999. As he arrived at Spain\'s High Court earlier on Wednesday, Mr Botin greeted the waiting media, saying: ""I have full faith in justice."" Santander\'s board of governors strongly reject the charges against their chairman, saying the payouts were legal and made with their unanimous support. But if convicted, Mr Botin could face a prison term of up to six years. Mr Corcostegui, a former CEO at Santander, also asked the court for new evidence to be admitted. In spite of the allegations against him, Mr Botin continues to lead Santander, and was instrumental in the \xc2\xa38.5bn takeover last November of the British bank Abbey National. Since taking over the chairmanship in 1986, he has turned Santander into one of the top ten biggest banks in the world.\n'",business,business
33,"b'Elvis fans hold birthday bash\n\nElvis fans around the world have been marking the legendary singer\'s 70th birthday on Saturday.\n\nA three-day Elvis convention took place in Blackpool, England, over the weekend with the aim of finding the best European Elvis impersonator. His Graceland, Tennessee, home was the focus for US celebrations with four days of events including a concert by the Memphis Symphony Orchestra. Elvis\' single Jailhouse Rock became the UK\'s number one on Sunday. Fans in France celebrated with a tribute concert by Elvis cover bands and a special exhibition of memorabilia is on display in Bonn, Germany.\n\nJailhouse Rock is now the 999th number one single in UK pop history. Record company SonyBMG are releasing Elvis\' 18 number one singles at the rate of one a week in Britain, complete with original artwork and a collector\'s box. Hit single One Night will follow next week - with the chance of becoming the 1,000th number one as interest surrounding Elvis\' birthday grows. HMV spokesman Gennaro Castaldo said: ""It would be a fantastic and truly fitting way to celebrate Elvis\' landmark birthday.""\n'",entertainment,entertainment
34,"b'Labour faces \'cold calls\' inquiry\n\nLabour is to be investigated by a watchdog over claims its election campaign has broken the rules on ""cold calling"" householders.\n\nThe information commissioner is to look into a complaint from the Lib Dems about how Labour uses its call centres. The Lib Dems say Labour is telephoning people who have signed up to make sure they do not get marketing calls. Labour denies breaking rules. It says calls are not marketing if they just ask about people\'s voting intentions. The party says it would expect the watchdog to take complaints seriously but it has clear legal advice on the issue.\n\nTelephone call centres are expected to be used as never before by all the three major parties in the run-up to the general election. But seven million telephone numbers are on the Telephone Preference Service (TPS) lists, which ban unsolicited sales and marketing calls. Lib Dem chairman Matthew Taylor has written to the watchdog accusing Labour of a ""flagrant and systematic breach"" of the laws governing the TPS.\n\nHe says the initial call may not be marketing but it identifies voters to whom the party can send promotional material in the future. His letter to the commissioner quotes from a Labour Party handbook about ""identifying target voters"". And it quotes a Stevenage Labour Party members\' newsletter explaining how voters will be telephoned about their voting intentions.\n\nThe voters are put in 24 categories according to their last known voting intention, ranging from ""Labour (firm)"" to ""target (Conservative)"" - those who supported the party in the past but this time will be voting Tory. The newsletter says: ""Using the information we know about people, we can send them direct mailings. ""For example, we could send the target (Conservative) people a letter from someone who had defected from the Tories to Labour explaining the reasons why voting Tory is a bad idea or we could send Labour (weak) people a letter encouraging them to sign up for a postal vote.""\n\nMr Taylor tells the commissioner: ""It is clear beyond peradventure from the above that the Labour Party is engaging in a large-scale voter ID project for subsequent promotional purposes through targeted and segmented mailings. ""Insofar as this project is directed at TPS subscribers, it is equally clear that it is unlawful."" The Lib Dems raised worries about Labour and Conservative calls in February and 680 people have signed up to the website they set up to help people to complain. A party official said there was only scattered evidence of the Tories breaking the rules but people had complained every day about Labour.\n\nA spokeswoman for the Information Commissioner\'s Office said it was examining one complaint about political calls - understood to be Mr Taylor\'s. ""We are investigating one of the complaints where some evidence has been given to us,"" she said. ""Obviously evidence is needed for us to start investigations."" The commissioner\'s office will now examine the Lib Dem evidence. ""The guidance is that cold calling can be made as long as no marketing is going on,"" said the spokeswoman. If Labour is judged to have broken the rules, it will be asked stop immediately. If it fails to do so after two or three warning letters, the commissioner can issue an enforcement notice spelling out what the party needs to do or stop doing.\n\nThe party could appeal against the decision to an Information Tribunal. If the appeal fails and it continues breaking the rules, it could be fined up to \xc2\xa35,000. Labour says it avoids those on TPS lists when telephoning people about membership or fundraising but not when making ""voter identification"" calls. Asked about the commissioner\'s inquiry, a Labour spokesman told BBC News: ""We expect the information commissioner to take any complaint seriously. However, we are absolutely clear that we haven\'t broken any rules. ""As the information commissioner himself has said, if people are not marketing something, if they are asking them which way they are going to vote, they are not in breach of the law. ""We always ask everyone we phone up whether they would be happy to be contacted by the Labour Party again.""\n'",politics,politics
35,"b'Three DJs replace Peel radio show\n\nThe late John Peel\'s BBC Radio 1 show is to be succeeded in February by three shows hosted by three DJs focusing on diverse, non-commercial music.\n\nHuw Stephens, Ras Kwame and Rob Da Bank will each host the mid-week, late-night timeslot, showcasing UK talent. Radio 1 said the show would not try to replace Peel, but would rise to the ""challenge"" of ""keeping his legacy alive"" with unpredictable music. Peel died after suffering a heart attack in Peru in October. Radio 1 said the three DJs had been chosen for their ""in-depth musical knowledge across a variety of musical genres"". Rob Da Bank has been hosting The John Peel Show since the DJ\'s death. He is also one of the hosts of The Blue Room, an early morning weekend show that plays a mix of old and new electronic and dance music. Huw Stephens is currently one half of the Radio 1 Thursday night show Bethan and Huw in Wales, which explores new music, especially up and coming acts breaking through in Wales. And Ras Kwame is the host of 100% Homegrown on Radio 1\'s digital station 1Xtra. His show is dedicated to showcasing the best of UK black music and broadcasts live sessions, often giving new artists their first chance to perform on live national radio.\n\nAll of the three DJs will continue to host their current shows on Radio 1. ""It is widely accepted that John Peel can never be replaced,"" said the radio station. It added that One Music would support both signed and unsigned talent, and said: ""It will seek out those making music for music\'s sake rather than for commercial success. ""Above all it will provide support to emerging genres of music and styles that have not yet and may never reach the mainstream.""\n\nOne Music is not new to Radio 1 as it already exists as a website, offering advice on aspects of the music industry, such as recording a demo and signing a record contract. Radio 1\'s controller, Andy Parfitt, said: ""We believe that by having a series of DJs hosting a selection of shows under the One Music title, we will ensure that his legacy lives on."" Stephens said he grew up ""listening to John"" and that it was a ""massive honour"" to continue Peel\'s work championing new music. The show will be broadcast from 1 February on Tuesdays, Wednesdays and Thursdays from 2300 GMT - 0100 GMT.\n'",entertainment,entertainment
36,"b""Blair 'damaged' by Blunkett row\n\nA majority of voters (68%) believe the prime minister has been damaged by the row over David Blunkett's involvement in a visa application, a poll suggests.\n\nBut nearly half those surveyed said Mr Blunkett should return to Cabinet if Labour won the next election. Some 63% of respondents in the Sunday Times poll thought his former lover - Kimberly Quinn - acted vindictively and 61% that he had been right to resign. YouGov polled a weighted sample of 1,981 voters online on 16-18 December. Mr Blunkett resigned as Home Secretary on Wednesday after an inquiry uncovered an e-mail showing a visa application by Mrs Quinn's former nanny had been speeded up. Sir Alan Budd's inquiry also found Mr Blunkett's account of events had been wrong. Almost a quarter (21%) of those polled for the Sunday Times said he should return to the Cabinet straight after the election. One in four said he should be back in the Government's top ranks within a year or two while 39% opposed a comeback.\n\nThree-quarters said Mr Blunkett was right to go to court for the right to see Mrs Quinn's son - whom he says he fathered - and just 14% voiced sympathy for Mrs Quinn. A total of 53% of those polled said they had sympathy for Mr Blunkett, with 40% saying they did not. Forty-three per cent thought Mr Blunkett had done a good job as home secretary and 17% disagreed. Meantime, 32% said Mr Blair was a good prime minister and 38% disagreed. A majority, 52%, said Chancellor Gordon Brown had done a good job and just 16% disagreed.\n\nA second poll for the Independent on Sunday found that support for all political parties remained largely unchanged after the Blunkett controversy. Labour lead the Conservatives by 39% to 34% with the Liberal Democrats on 19%. CommunicateResearch interviewed 401 people before David Blunkett's resignation and 601 afterwards. Some 82% said Mr Blunkett had set a good example by wanting to take responsibility for the child he says is his, but 42% backed his legal action compared to 45% who thought it was unbecoming. Thirty per cent said the affair showed Mr Blunkett could not be trusted as a minister while 63%, disagreed.\n""",politics,politics
37,"b'Henman to face Saulnier test\n\nBritish number one Tim Henman will face France\'s Cyril Saulnier in the first round of next week\'s Australian Open.\n\nGreg Rusedski, the British number two, is in the same quarter of the draw and could face Andy Roddick in the second round if he beats Swede Jonas Bjorkman. Local favourite Lleyton Hewitt will meet France\'s Arnaud Clement, while defending champion and world number one Roger Federer faces Fabrice Santoro. Women\'s top seed Lindsay Davenport drew Spanish veteran Conchita Martinez.\n\nHenman came from two sets down to defeat Saulnier in the first round of the French Open last year, so he knows he faces a tough test in Melbourne. The seventh seed, who has never gone beyond the quarter-finals in the year\'s first major and is lined up to meet Roddick in the last eight, is looking forward to the match. ""He\'s tough player on any surface, he\'s got a lot of ability,"" he said. ""We had a really tight one in Paris that went my way so I\'m going to need to play well from the outset because he\'s a dangerous competitor."" Switzerland\'s Federer, seeded one, is the hot favourite having won three of the four grand slam titles in 2004. He has beaten Santoro in five of their seven previous encounters, but is taking nothing for granted. ""It\'s a tricky match,"" Federer said. ""I played him at the US Open and won quite comfortably then. But you never know, if the rhythm is a bit off, he can keep you guessing and make it difficult. ""The most important thing, though, is to get used to playing five-set matches and winning them."" The 23-year-old could meet four-time champion Andre Agassi in the quarter-finals before meeting Russian Marat Safin, the player he beat in last year\'s final.\n\nEighth-seeded American Agassi is set to play a qualifier in round one if he can shake off a hip injury which ruled him out of the Kooyong Classic. Second seed Andy Roddick will open his campaign against Irakli Labadze of Georgia. The American could meet Rusedski in the second round, seventh seed Henman in the quarter-finals and Hewitt in the last four. Hewitt is hoping to become the first Australian man to win the event since Mark Edmondson in 1976. The 23-year-old has never been beyond round four in eight attempts at Melbourne Park but has at least secured the opposite half of the draw to Federer, who beat him in the Australian Open, Wimbledon and US Open last year. Safin, seeded four, opens his campaign against a qualifier with 16th seed Tommy Haas, the player he beat in the semi-finals in 2002, a possible fourth-round opponent.\n\nIn the women\'s draw, Davenport could encounter eighth-seeded Venus Williams in the quarter-finals and third-ranked Anastasia Myskina, the French Open champion, in the semi-finals. Bronchitis ruled Davenport, the 2000 Australian Open champion, out of her Sydney quarter-final on Thursday. Venus Williams, who lost to younger sister Serena in the Melbourne final two years ago, opens against Eleni Daniilidou of Greece. Serena Williams, who won her fourth consecutive grand slam at the 2003 Australian Open, was drawn in the bottom quarter with second seed Amelie Mauresmo, a runner-up in 1999. Serena will open against another Frenchwoman Camille Pin, while Mauresmo plays Australia\'s Samantha Stosur. Wimbledon champion Maria Sharapova, seeded fourth, drew a qualifier in the first round but could meet fellow Russian Svetlana Kuznetsova, the US Open winner, in the last eight\n\n1 Roger Federer (Switzerland)\n\n2 Andy Roddick (US)\n\n3 Lleyton Hewitt (Australia)\n\n4 Marat Safin (Russia)\n\n5 Carlos Moya (Spain)\n\n6 Guillermo Coria (Argentina)\n\n7 Tim Henman (Britain)\n\n8 Andre Agassi (US)\n\n9 David Nalbandian (Argentina)\n\n10 Gaston Gaudio (Argentina)\n\n11 Joachim Johansson (Sweden)\n\n12 Guillermo Canas (Argentina)\n\n13 Tommy Robredo (Spain)\n\n14 Sebastien Grosjean (France)\n\n15 Mikhail Youzhny (Russia)\n\n16 Tommy Haas (Germany)\n\n17 Andrei Pavel (Romania)\n\n18 Nicolas Massu (Chile)\n\n19 Vincent Spadea (US)\n\n20 Dominik Hrbaty (Slovakia)\n\n21 Nicolas Kiefer (Germany)\n\n22 Ivan Ljubicic (Croatia)\n\n23 Fernando Gonzalez (Chile)\n\n24 Feliciano Lopez (Spain)\n\n25 Juan Ignacio Chela (Argentina)\n\n26 Nikolay Davydenko (Russia)\n\n27 Paradorn Srichaphan (Thailand)\n\n28 Mario Ancic (Croatia)\n\n29 Taylor Dent (US)\n\n30 Thomas Johansson (Sweden)\n\n31 Juan Carlos Ferrero (Spain)\n\n32 Jurgen Melzer (Austria)\n\n1 Lindsay Davenport (US)\n\n2 Amelie Mauresmo (France)\n\n3 Anastasia Myskina (Russia)\n\n4 Maria Sharapova (Russia)\n\n5 Svetlana Kuznetsova (Russia)\n\n6 Elena Dementieva (Russia)\n\n7 Serena Williams (US)\n\n8 Venus Williams (US)\n\n9 Vera Zvonareva (Russia)\n\n10 Alicia Molik (Australia)\n\n11 Nadia Petrova (Russia)\n\n12 Patty Schnyder (Switzerland)\n\n13 Karolina Sprem (Croatia)\n\n14 Francesca Schiavone (Italy)\n\n15 Silvia Farina Elia (Italy)\n\n16 Ai Sugiyama (Japan)\n\n17 Fabiola Zuluaga (Colombia)\n\n18 Elena Likhovtseva (Russia)\n\n19 Nathalie Dechy (France)\n\n20 Tatiana Golovin (France)\n\n21 Amy Frazier (US)\n\n22 Magdalena Maleeva (Bulgaria)\n\n23 Jelena Jankovic (Serbia and Montenegro)\n\n24 Mary Pierce (France)\n\n25 Lisa Raymond (US)\n\n26 Daniela Hantuchova (Slovakia)\n\n27 Anna Smashnova (Israel)\n\n28 Shinobu Asagoe (Japan)\n\n29 Gisela Dulko (Argentina)\n\n30 Flavia Pennetta (Italy)\n\n31 Jelena Kostanic (Croatia)\n\n32 Iveta Benesova (Czech Republic)\n'",sport,sport
38,"b""Parties build up poll war chests\n\nThe Labour Party received more than \xc2\xa35m in donations in the final quarter of 2004, new figures show.\n\nThis is nearly half of the \xc2\xa311,724,929 received by 16 political parties listed by the Electoral Commission. The Conservatives were in second place with donations totalling \xc2\xa34,610,849, while the Liberal Democrats received just over \xc2\xa31m. The majority of Labour's donations came from affiliated trade unions. There were also large sums from individuals. Lord Drayson, whose company PowderJect won multi-million pound contracts to provide smallpox vaccine to the government after the 11 September terror attacks, gave \xc2\xa3500,000 to the party just days before Christmas.\n\nThis followed an earlier donation of the same amount earlier in 2004. He was made a lord by Tony Blair last year. Other significant donations came from retired millionaire businessman and philanthropist Sir Christopher Ondaatje who gave the party a sum of \xc2\xa3500,000, and refrigerator magnate William Haughey OBE who gave \xc2\xa3330,000. The totals for the fourth quarter were well up on the same period of 2003, as the parties built up their war chests for the general election campaign. The largest donation to the Conservatives was a bequest from Ruth Beardmore of nearly \xc2\xa3400,000. The joint founder of merchant bank Hambro Magan gave \xc2\xa3325,417. There were also donations topping \xc2\xa3250,000 for the Conservatives from Scottish Business Groups Focus on Scotland and the Institute of International Research, the world's largest independent conference company.\n\nAlso among the gifts to the Tories were 24 donations totalling \xc2\xa3161,840 from Bearwood Corporate Services. This company is controlled by the party's former treasurer Lord Ashcroft which has directed almost \xc2\xa3300,000 to specific marginal constituencies over the past two years. The Liberal Democrats' largest donor was the Joseph Rowntree Reform Trust Ltd, a company which promotes political reform and constitutional change, which gave a sum of \xc2\xa3250,000. And fast food giants McDonald's are listed as donating a sum of \xc2\xa310,575. This was a fee the firm paid for a room for an event held with the work and skills foundation during the party's conference. The UK Independence Party, which lost its main donor Paul Sykes amid the row over Robert Kilroy-Silk's bid for the leadership last autumn, took in \xc2\xa363,081. Just \xc2\xa38,170 of this was cash and the remainder came in gifts in kind, such as office space and printing. Registered political parties are required to set out each quarter all donations over \xc2\xa35,000 to their headquarters and over \xc2\xa31,000 to local constituency parties they receive. It is an offence for a person to knowingly or recklessly make a false declaration about party donations.\n""",politics,politics
39,"b""Reds sink 10-man Magpies\n\nTitus Bramble's own goal put Liverpool on the comeback trail as injury-hit Newcastle were well beaten at Anfield.\n\nPatrick Kluivert's close-range finish put Newcastle ahead after 31 minutes, but they were pegged back as Bramble headed in Steven Gerrard's corner. Neil Mellor gave Liverpool the lead before half-time from Milan Baros' pass before the Czech added a third after rounding Shay Given on the hour. Newcastle then had Lee Bowyer sent off for two bookable offences. Liverpool brought back Luis Garcia after a hamstring injury, while Newcastle were forced to draft in Kluivert after Craig Bellamy was a late withdrawal with a back injury sustained in the warm-up. And Garcia should have crowned his return with a goal inside the opening minute when he took a pass from Baros but shot wildly over the top from eight yards. Olivier Bernard was only inches away from giving Newcastle the lead after 20 minutes, when he fired just wide from a free-kick 25 yards out. But Souness's side did go ahead 11 minutes later in highly controversial circumstances.\n\nKluivert looked suspiciously offside when Kieron Dyer set Bowyer free, but the Dutchman was then perfectly placed to score from six yards. The lead lasted three minutes, with Liverpool back on terms as Bramble headed Gerrard's corner into his own net under pressure from Sami Hyypia. And Liverpool were ahead after 37 minutes when Baros slid a perfect pass into Mellor's path for the youngster to slip a slide-rule finish into Given's bottom corner. Garcia's finishing was wayward, and he was wasteful again in first-half injury time, shooting tamely at Given after good work by Xabi Alonso. Any hopes of a Newcastle recovery looked to be snuffed out on the hour when a brilliant turn and pass by Harry Kewell set Baros free and he rounded Given to score. Jermaine Jenas then missed a glorious chance to throw Newcastle a lifeline, shooting over from just eight yards out from Shola Ameobi's cross. Then Bowyer, who had already been booked for a foul on Alonso, was deservedly shown the red card by referee Graham Poll for a wild challenge on Liverpool substitute Florent Sinama-Pongolle.\n\nDudek, Finnan, Hyypia, Carragher, Riise, Luis Garcia (Nunez 73), Gerrard, Alonso, Kewell (Traore 85), Baros, Mellor (Sinama Pongolle 75).\n\nSubs not used: Hamann, Harrison.\n\nBramble 35 og, Mellor 38, Baros 61.\n\nGiven, Andrew O'Brien, Elliott, Bramble, Bernard, Bowyer, Dyer (Ambrose 80), Jenas, Milner (N'Zogbia 72), Kluivert (Robert 58), Ameobi.\n\nSubs not used: Harper.\n\nBowyer (77).\n\nBowyer, Elliott, Bernard.\n\nKluivert 32.\n\n43,856.\n\nG Poll (Hertfordshire).\n""",sport,sport
40,"b""Quiksilver moves for Rossignol\n\nShares of Skis Rossignol, the world's largest ski-maker, have jumped as much as 15% on speculation that it will be bought by US surfwear firm Quiksilver.\n\nThe owners of Rossignol, the Boix-Vives family, are said to be considering an offer from Quiksilver. Analysts believe other sporting goods companies may now take a closer look at Rossignol, prompting an auction and pushing the sale price higher. Nike and K2 have previously been mentioned as possible suitors.\n\nRossignol shares touched 17.70 euros, before falling back to trade 7.8% higher at 16.60 euros. European sporting goods companies have seen foreign revenues squeezed by a slump in the value of the US dollar, making a takeover more attractive, analysts said. Companies such as Quiksilver would be able to cut costs by selling Rossignol skis through their shops, they added. The Boix-Vives family is thought to have spent the past couple of years sounding out possible suitors for Rossignol, which also makes golf equipment, snowboards and sports clothing.\n""",business,business
41,"b""Holmes feted with further honour\n\nDouble Olympic champion Kelly Holmes has been voted European Athletics (EAA) woman athlete of 2004 in the governing body's annual poll.\n\nThe Briton, made a dame in the New Year Honours List for taking 800m and 1,500m gold, won vital votes from the public, press and EAA member federations. She is only the second British woman to land the title after- Sally Gunnell won for her world 400m hurdles win in 1993. Swedish triple jumper Christian Olsson was voted male athlete of the year. The accolade is the latest in a long list of awards that Holmes has received since her success in Athens. In addition to becoming a dame, she was also named the BBC Sports Personality of the Year in December. Her gutsy victory in the 800m also earned her the International Association of Athletics Federations' award for the best women's performance in the world for 2004. And she scooped two awards at the British Athletics Writers' Association annual dinner in October.\n""",sport,sport
42,"b""US economy shows solid GDP growth\n\nThe US economy has grown more than expected, expanding at an annual rate of 3.8% in the last quarter of 2004.\n\nThe gross domestic product figure was ahead of the 3.1% the government estimated a month ago. The rise reflects stronger spending by businesses on capital equipment and a smaller-than-expected trade deficit. GDP is a measure of a country's economic health, reflecting the value of the goods and services it produces.\n\nThe new GDP figure, announced by the Commerce Department on Friday, also topped the 3.5% growth rate that economists had forecast ahead of Friday's announcement. Growth was at an annual rate of 4% in the third quarter of 2004 and for the year it came in at 4.4%, the best figure in five years. However, the positive economic climate may lead to a rise in interest rates, with many expecting US rates to rise on 22 March. In the January-to-March quarter, the economy is expected to grow at an annual rate of about 4%, economists forecast. In the final quarter of 2004, businesses increased spending on capital equipment and software by 18%, up from 17.5% in the third quarter. Consumer spending grew 4.2% in the final quarter, down from the third quarter's 5.1%.\n""",business,business
43,"b'Warning over US pensions deficit\n\nTaxpayers may have to bail out the US agency that protects workers\' pension funds, leading economists have warned.\n\nWith the Pension Benefit Guaranty Corporation (PBGC) some \xc2\xa323bn (\xc2\xa312m) in deficit, the Financial Economists Roundtable (FER) wants Congress to act. Instead of taxpayers having to pick up the bill, the FER wants Congressmen to change the PBGC\'s funding rules. The FER says firms should not have been allowed to reduce the insurance premiums they pay into the PBGC fund. The FER blames this on a 2004 law, in a statement signed by several members, who include Nobel economics laureate William Sharpe. It said it was ""dismayed"" at the situation and wants Congress to overturn the legislation.\n\nCash-strapped US companies, including those in the airline, car-making and steel industries, had argued in favour of the 2004 rule change, claiming that funding the insurance premiums adequately would force them to have to cut jobs. ""With a little firmer hand on the pensions issues in the US, I think that Congress could avoid having to turn to the taxpayer and instead turn the obligations back onto the companies that deserve to pay them,"" said Professor Dennis Logue, dean of Price College of Business at the University of Oklahoma. The PBGC was founded in 1974 to protect workers\' retirement rights. Its most recent action came last week when it took control of the pilots\' pension scheme at United Airlines. With United battling bankruptcy, the carrier had wanted to use the money set aside for pensions to finance running costs. The company has an estimated $2.9bn hole in its pilots\' pension scheme, which the PBGC will now guarantee.\n'",business,business
44,"b'Sony PSP console hits US in March\n\nUS gamers will be able to buy Sony\'s PlayStation Portable from 24 March, but there is no news of a Europe debut.\n\nThe handheld console will go on sale for $250 (\xc2\xa3132) and the first million sold will come with Spider-Man 2 on UMD, the disc format for the machine. Sony has billed the machine as the Walkman of the 21st Century and has sold more than 800,000 units in Japan. The console (12cm by 7.4cm) will play games, movies and music and also offers support for wireless gaming. Sony is entering a market which has been dominated by Nintendo for many years.\n\nIt launched its DS handheld in Japan and the US last year and has sold 2.8 million units. Sony has said it wanted to launch the PSP in Europe at roughly the same time as the US, but gamers will now fear that the launch has been put back. Nintendo has said it will release the DS in Europe from 11 March. ""It has gaming at its core, but it\'s not a gaming device. It\'s an entertainment device,"" said Kaz Hirai, president of Sony Computer Entertainment America.\n'",tech,tech
